,accommodates,availability_30,host_total_listings_count,bathrooms,bedrooms,beds,extra_people,guests_included,hos1_iden1i1y_veri0ied,ins1an1_bookable,is_loca1ion_exac1,number_of_reviews,price,host_is_superhost
6697,2,0,4,1,0,1,0,1,1,1,1,60,352,0
6698,4,23,19,1,2,2,0,1,0,0,1,0,751,0
6699,4,23,19,1,2,1,0,1,0,0,1,0,751,0
6700,2,0,2,1,1,1,0,1,0,1,1,13,501,1
6701,4,23,1,2,3,2,0,1,0,0,1,0,1799,0
6702,3,0,1,1,1,2,0,1,0,1,0,0,321,0
6703,2,0,4,1,0,1,0,1,1,1,1,0,282,0
6704,2,30,9,1,1,1,400,2,1,0,1,7,2300,0
6705,1,0,2,1,0,1,50,1,0,1,1,3,352,0
6706,3,16,8,1,0,2,60,2,0,1,1,9,509,0
6707,2,0,2,1,1,2,0,1,0,0,1,8,688,0
6708,1,30,1,1,0,1,0,1,0,0,0,0,4694,0
6709,2,0,2,1,0,1,0,1,0,1,0,32,430,0
6710,2,0,1,2,1,1,0,1,0,1,1,0,501,0
6711,2,6,2,1,0,2,100,1,1,1,1,5,297,0
6712,2,29,219,1,1,1,0,1,0,0,1,0,274,0
6713,1,29,219,1,0,1,0,1,0,0,1,0,243,0
6714,2,29,219,1,1,1,0,1,0,0,1,0,219,0
6715,2,20,22,1,1,2,0,2,0,1,1,75,579,1
6716,2,19,5,1,1,1,0,1,0,1,0,52,383,0
6717,2,6,3,1,1,1,0,2,0,1,0,69,665,1
6718,1,30,1,1,0,1,0,1,0,0,0,0,4694,0
6719,2,29,219,1,0,1,0,1,0,0,1,0,329,0
6720,1,30,1,1,0,1,0,1,0,0,0,0,4694,0
6721,1,29,5,1,1,1,0,1,1,0,1,0,399,1
6722,2,0,1,1,1,1,0,1,0,0,0,0,235,0
6723,4,0,1,1,2,2,50,2,0,0,1,2,978,0
6724,2,0,1,1,1,1,0,1,0,0,1,0,211,0
6725,2,25,8,1,1,2,0,1,0,1,1,2,313,0
6726,2,25,5,1,1,1,0,1,1,1,1,3,477,0
6727,3,12,1,1,2,2,0,1,0,1,0,3,900,0
6728,4,23,11,1,1,2,0,1,0,0,0,40,454,1
6729,2,0,2,1,1,1,100,2,1,1,0,4,446,0
6730,2,13,28,1,0,1,80,2,1,1,1,47,422,1
6731,1,30,1,1,0,1,0,1,0,0,0,0,4694,0
6732,2,0,1,1,0,1,0,1,0,1,1,5,454,0
6733,4,0,1,1,1,3,90,2,1,0,1,2,1447,0
6734,4,0,9,1,2,4,36,1,0,0,0,1,532,0
6735,5,0,1,2,3,3,0,1,0,1,0,1,2957,0
6736,1,29,219,1,0,1,0,1,0,0,1,0,110,0
6737,1,29,219,1,1,1,0,1,0,0,1,0,203,0
6738,2,29,219,1,0,1,0,1,0,0,1,0,282,0
6739,9,4,2,2,3,4,250,8,1,1,1,16,6752,1
6740,1,0,1,1,1,1,0,1,0,0,0,0,258,0
6741,1,24,10,1,0,1,0,1,1,1,1,34,313,0
6742,2,9,2,1.5,1,1,200,1,0,1,0,39,454,0
6743,1,29,3,1,1,1,780,2,1,0,0,5,743,1
6744,1,2,3,1,0,1,100,1,0,0,1,9,219,0
6745,2,24,9,1,1,1,0,1,0,1,0,17,454,1
6746,5,24,4,1,2,3,0,1,0,1,1,2,900,0
6747,2,16,9,1,1,2,0,1,0,1,0,74,336,1
6748,2,0,1,1,1,1,0,1,0,1,1,0,602,0
6749,1,0,1,1,0,1,0,1,0,1,0,8,751,0
6750,2,29,219,1,0,1,0,1,0,0,1,0,282,0
6751,1,0,2,1,1,1,0,1,0,1,1,0,454,0
6752,3,0,2,2,3,3,100,1,1,1,0,1,1799,0
6753,2,0,2,1,1,1,0,1,1,1,1,1,751,0
6754,2,7,4,1,1,1,0,1,0,0,1,27,383,0
6755,1,0,1,1,1,1,0,1,0,0,1,1,853,0
6756,2,29,219,1,1,1,0,1,0,0,0,0,336,0
6757,1,29,219,1,1,1,0,1,0,0,1,0,172,0
6758,1,29,219,1,1,1,0,1,0,0,1,0,196,0
6759,2,29,219,1,0,1,0,1,0,0,1,0,289,0
6760,1,30,1,1,0,1,0,1,0,0,0,0,4694,0
6761,2,0,1,1,0,1,0,1,0,1,1,2,391,0
6762,3,0,1,1,1,1,0,1,0,1,0,0,602,0
6763,3,22,9,1,1,2,0,1,0,1,0,9,477,1
